Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-11-07,12.959066390991211,13.01351623808929,12.822941773246018,12.959066390991211,93521,0.0,0.0
1996-11-08,12.986295700073242,13.040745561671594,12.822945188061684,12.986295700073242,26338,0.0,0.0
1996-11-11,13.149641990661621,13.231317695573683,12.98629336248649,13.149641990661621,22097,0.0,0.0
1996-11-12,13.040744781494139,13.17686942734621,12.959069066766455,13.04074478149414,78343,0.0,0.0
1996-11-13,13.01351833343506,13.067968189300272,12.850169693055822,13.013518333435059,27007,0.0,0.0
1996-11-14,12.931844711303713,13.013518569365852,12.850169926025156,12.931844711303711,48658,0.0,0.0
1996-11-15,13.040744781494139,13.067968783448112,12.931845064812483,13.04074478149414,25445,0.0,0.0
1996-11-18,12.986295700073242,13.01351970365592,12.822945188061684,12.986295700073242,104904,0.0,0.0
1996-11-19,12.877393722534181,12.904618650527595,12.686819226580281,12.87739372253418,83923,0.0,0.0
1996-11-20,12.850167274475098,12.904616192875865,12.741266656024887,12.850167274475098,220522,0.0,0.0
1996-11-21,12.822943687438965,12.90461847027839,12.714043976986398,12.822943687438965,56470,0.0,0.0
1996-11-22,12.904616355895996,12.959066202200837,12.768491740133895,12.904616355895996,59148,0.0,0.0
1996-11-25,12.795717239379885,12.904616001785076,12.74126646735297,12.795717239379883,37721,0.0,0.0
1996-11-26,12.686818122863771,12.768492899738543,12.605143345988997,12.68681812286377,243065,0.0,0.0
1996-11-27,12.741267204284668,12.795717979460916,12.605142584384712,12.741267204284668,43078,0.0,0.0
1996-11-29,12.714040756225584,12.822940439091342,12.632365994076267,12.714040756225586,19195,0.0,0.0
1996-12-02,12.632365226745607,12.686815064871025,12.469016639585446,12.632365226745605,35712,0.0,0.0
1996-12-03,12.714040756225584,12.741265676942024,12.414566628344753,12.714040756225586,100217,0.0,0.0
1996-12-04,12.577919006347656,12.758284842427956,12.55069407945437,12.577919006347656,78343,0.0,0.0
1996-12-05,12.686818122863771,12.822942750988393,12.496243643489299,12.68681812286377,40399,0.0,0.0
1996-12-06,12.469019889831545,12.632368519571093,12.414569110296576,12.469019889831543,69192,0.0,0.0
1996-12-09,12.550694465637207,12.5779193933682,12.387344899251245,12.550694465637207,161150,0.0,0.0
1996-12-10,12.686818122863771,12.850168603829639,12.469019645080696,12.68681812286377,86602,0.0,0.0
1996-12-11,12.714040756225584,12.822940439091342,12.414566628344753,12.714040756225586,40399,0.0,0.0
1996-12-12,12.714040756225584,12.714040756225584,12.52346631121051,12.714040756225586,82584,0.0,0.0
1996-12-13,12.632365226745607,12.632365226745607,12.360116036118509,12.632365226745605,57139,0.0,0.0
1996-12-16,12.686818122863771,12.686818122863771,12.44179379223945,12.68681812286377,178337,0.0,0.0
1996-12-17,12.659598350524902,12.659598350524902,12.469023807532196,12.659598350524902,335246,0.0,0.0
1996-12-18,12.577919006347656,12.605143933240944,12.353313823086221,12.577919006347656,481442,0.0,0.0
1996-12-19,12.278444290161135,12.360119067379618,12.169544587203156,12.278444290161133,277661,0.0,0.0
1996-12-20,12.278444290161135,12.332894141640123,12.14231966146366,12.278444290161133,191282,0.0,0.0
1996-12-23,12.251220703125,12.278445631839391,12.087871130838657,12.251220703125,469166,0.0,0.0
1996-12-24,12.169544219970703,12.25121899472454,11.978969745545083,12.169544219970703,394394,0.0,0.0
1996-12-26,12.142318725585938,12.223993496509282,12.006194107380363,12.142318725585938,265385,0.0,0.0
1996-12-27,12.196765899658203,12.278440652680592,12.060641311287554,12.196765899658203,353102,0.0,0.0
1996-12-30,12.469019889831545,12.469019889831545,12.414569110296576,12.469019889831543,420732,0.0,0.0
1996-12-31,12.523468017578125,12.57791786642999,12.305668622170659,12.523468017578125,170078,0.0,0.0
1997-01-02,12.44179344177246,12.523468216346576,12.332893742340305,12.441793441772461,451087,0.0,0.0
1997-01-03,12.360118865966799,12.469019494366526,12.237606702135453,12.360118865966797,759326,0.0,0.0
1997-01-06,12.332893371582031,12.414568143700794,12.22399367542368,12.332893371582031,440597,0.0,0.0
1997-01-07,12.360118865966799,12.414568716558506,12.196769314191672,12.360118865966797,597283,0.0,0.0
1997-01-08,12.332893371582031,12.469018918996237,12.251218599463268,12.332893371582031,1456380,0.0,0.0
1997-01-09,12.414567947387695,12.469018721822101,12.278443329342313,12.414567947387695,603756,0.0,0.0
1997-01-10,12.332893371582031,12.387343219661206,12.142318903304917,12.332893371582031,811109,0.0,0.0
1997-01-13,12.414567947387695,12.469018721822101,12.251218405733235,12.414567947387695,1252598,0.0,0.0
1997-01-14,12.414567947387695,12.496242718214924,12.305668252951389,12.414567947387695,1118232,0.0,0.0
1997-01-15,12.360118865966799,12.44179364185436,12.261428743573404,12.360118865966797,1519769,0.0,0.0
1997-01-16,12.332893371582031,12.414568143700794,12.22399367542368,12.332893371582031,1291658,0.0,0.0
1997-01-17,12.169544219970703,12.414568544232216,12.006194670463028,12.169544219970703,1527581,0.0,0.0
1997-01-20,11.951743125915527,12.060642810145751,11.761168678512638,11.951743125915527,862668,0.0,0.0
1997-01-21,11.897294998168945,12.006194698091326,11.298346648595853,11.897294998168945,3189751,0.0,0.0
1997-01-22,12.060646057128906,12.087870985515995,11.761171844870947,12.060646057128906,1796090,0.0,0.0
1997-01-23,12.169544219970703,12.305668844560433,12.087869445216866,12.169544219970703,3276576,0.0,0.0
1997-01-24,12.30566692352295,12.332891844190813,12.03341771684431,12.30566692352295,527868,0.0,0.0
1997-01-27,12.30566692352295,12.38734168552654,12.03341771684431,12.30566692352295,1598112,0.0,0.0
1997-01-28,12.387344360351564,12.414569286898162,12.087870168338975,12.387344360351562,1404151,0.0,0.0
1997-01-29,12.360118865966799,12.387343791262653,12.25121916478338,12.360118865966797,1786046,0.0,0.0
1997-01-30,12.43838882446289,12.523466470983134,11.761168681197548,12.43838882446289,767585,0.0,0.0
1997-01-31,12.550694465637207,12.605144321099193,11.842846344631374,12.550694465637207,555545,0.0,0.0
1997-02-03,12.7684965133667,12.79572237391317,12.469023173954527,12.7684965133667,372744,0.0,0.0
